ra,dec,V,eV,I,eI
0 57 34.660,-33 23 10.300,18.723,0.005,18.224,0.005
0 58 08.040,-33 23 10.400,19.254,0.007,17.195,0.003
0 55 13.200,-33 23 10.500,21.751,0.055,21.173,0.072
0 56 43.220,-33 23 10.700,21.189,0.031,20.769,0.045
1 01 52.690,-33 23 10.800,20.774,0.015,19.927,0.017
0 55 57.330,-33 23 11.500,22.083,0.069,21.524,0.092
0 58 10.190,-33 23 11.600,17.631,0.003,17.024,0.003
0 56 41.210,-33 23 13.100,21.449,0.042,19.337,0.013
1 00 53.680,-33 23 13.200,22.924,0.084,20.627,0.028
0 57 24.770,-33 23 13.700,22.909,0.094,20.561,0.028
0 59 47.290,-33 23 14.200,20.510,0.032,18.251,0.009
0 58 15.880,-33 23 15.300,19.273,0.006,17.736,0.004
1 03 29.850,-33 23 15.300,18.139,0.004,17.585,0.005
1 01 39.440,-33 23 15.700,21.362,0.022,20.606,0.030
1 01 48.230,-33 23 16.600,22.589,0.057,22.186,0.117
0 57 12.730,-33 23 16.900,20.316,0.011,19.716,0.015
1 02 36.450,-33 23 16.900,21.851,0.032,21.078,0.042
0 57 03.560,-33 23 17.000,17.308,0.002,16.907,0.002
1 04 38.530,-33 23 18.000,20.764,0.030,18.634,0.009
1 00 27.610,-33 23 18.100,21.314,0.055,20.795,0.075
1 05 05.950,-33 23 18.100,20.168,0.019,18.168,0.007
1 01 41.290,-33 23 18.800,22.918,0.075,22.495,0.152
0 59 12.390,-33 23 19.000,17.214,0.002,16.332,0.002
1 03 56.490,-33 23 19.100,21.421,0.051,20.038,0.031
1 01 33.900,-33 23 19.200,22.482,0.052,22.072,0.105
0 54 57.910,-33 23 20.600,22.321,0.096,20.469,0.036
0 58 16.820,-33 23 21.200,16.675,0.002,15.982,0.002
1 04 46.290,-33 23 21.200,20.815,0.031,18.450,0.008
0 59 39.120,-33 23 22.100,15.528,0.001,14.552,0.001
0 58 51.530,-33 23 22.700,16.748,0.002,15.962,0.002
1 04 31.930,-33 23 22.800,18.142,0.004,16.561,0.002
1 00 09.990,-33 23 24.500,19.170,0.011,18.278,0.009
1 01 24.420,-33 23 24.600,20.563,0.034,18.131,0.008
0 57 47.590,-33 23 25.500,17.918,0.003,16.548,0.002
0 56 37.110,-33 23 25.800,21.460,0.042,19.821,0.019
0 54 58.970,-33 23 27.700,21.878,0.063,20.586,0.041
0 55 14.610,-33 23 27.700,22.470,0.126,18.951,0.010
1 03 11.210,-33 23 27.700,18.240,0.003,17.390,0.003
0 57 59.800,-33 23 28.800,21.183,0.023,19.286,0.010
1 02 50.350,-33 23 29.100,21.588,0.027,20.910,0.038
0 59 05.340,-33 23 30.000,21.578,0.028,20.829,0.036
0 59 30.410,-33 23 31.900,18.589,0.007,17.534,0.006
0 57 49.150,-33 23 33.000,22.437,0.055,21.860,0.089
1 00 21.780,-33 23 34.200,20.150,0.021,19.889,0.035
1 04 02.510,-33 23 34.300,17.719,0.003,15.868,0.002
1 05 00.470,-33 23 34.300,22.482,0.133,21.418,0.114
0 56 10.420,-33 23 34.400,20.238,0.016,18.383,0.007
0 55 35.450,-33 23 34.800,18.480,0.005,15.997,0.002
0 56 30.850,-33 23 34.900,22.884,0.145,20.729,0.040
0 59 49.940,-33 23 35.200,18.626,0.008,16.146,0.002
0 58 33.550,-33 23 35.500,21.760,0.032,20.916,0.038
1 00 40.810,-33 23 36.100,19.241,0.011,18.477,0.011
1 05 03.350,-33 23 36.700,16.540,0.002,15.807,0.002
0 55 15.010,-33 23 38.100,19.063,0.007,18.521,0.008
0 58 49.960,-33 23 39.300,22.756,0.073,22.184,0.119
0 56 19.300,-33 23 40.000,19.622,0.009,19.093,0.012
1 01 34.320,-33 23 41.300,23.063,0.085,22.517,0.152
1 00 13.290,-33 23 41.800,18.219,0.006,16.795,0.003
0 58 41.710,-33 23 42.400,19.815,0.009,18.199,0.005
1 01 39.020,-33 23 43.600,21.079,0.020,18.361,0.005
0 58 57.310,-33 23 43.800,21.300,0.026,18.514,0.006
0 58 49.130,-33 23 44.100,19.900,0.009,19.051,0.009
0 59 47.720,-33 23 44.200,19.554,0.015,17.884,0.007
0 56 40.300,-33 23 45.200,21.505,0.039,21.356,0.076
1 03 53.010,-33 23 46.800,23.129,0.241,20.194,0.033
0 54 51.440,-33 23 47.900,21.759,0.059,19.572,0.016
0 58 07.760,-33 23 48.000,18.064,0.004,16.082,0.002
1 01 04.330,-33 23 48.500,19.994,0.009,19.019,0.009
1 02 24.930,-33 23 49.100,18.131,0.003,17.291,0.003
0 58 59.430,-33 23 49.500,22.774,0.082,20.425,0.024
0 56 45.350,-33 23 50.100,20.104,0.009,19.856,0.016
1 00 31.150,-33 23 50.600,19.340,0.013,17.157,0.004
0 56 46.070,-33 23 50.800,21.023,0.018,20.233,0.021
0 54 57.770,-33 23 51.500,19.592,0.010,17.931,0.005
0 56 24.500,-33 23 51.500,18.990,0.006,17.996,0.005
0 58 13.080,-33 23 53.200,21.357,0.023,20.787,0.035
1 00 06.050,-33 23 53.600,20.276,0.024,19.734,0.031
0 58 59.930,-33 23 53.700,22.142,0.042,21.976,0.100
1 04 58.930,-33 23 53.700,22.441,0.128,21.366,0.109
0 59 47.380,-33 23 53.800,20.477,0.028,19.738,0.030
1 03 34.130,-33 23 53.900,20.885,0.031,19.700,0.023
0 56 51.470,-33 23 54.800,22.962,0.082,22.133,0.107
1 03 07.340,-33 23 55.200,19.387,0.007,16.777,0.002
1 05 22.920,-33 23 55.300,15.289,0.001,14.790,0.001
1 01 34.910,-33 23 55.900,19.750,0.008,18.929,0.008
1 03 03.460,-33 23 56.400,21.632,0.030,19.423,0.011
1 03 56.480,-33 23 58.000,22.182,0.111,18.952,0.011
0 54 55.350,-33 23 58.100,17.499,0.003,16.278,0.002
0 59 17.850,-33 23 58.300,21.549,0.026,20.988,0.041
1 04 19.970,-33 23 58.600,20.516,0.024,18.687,0.010
0 57 47.000,-33 23 59.400,23.186,0.105,22.086,0.104
1 03 42.610,-33 23 59.900,20.107,0.015,19.878,0.028
0 57 46.130,-33 24 00.100,20.561,0.014,19.754,0.015
0 58 49.420,-33 24 00.400,22.454,0.057,21.810,0.086
1 01 23.060,-33 24 02.400,22.023,0.038,21.354,0.059
0 55 04.820,-33 24 05.600,21.456,0.048,18.964,0.010
1 01 10.480,-33 24 05.600,20.234,0.011,17.398,0.003
0 58 57.350,-33 24 06.200,22.944,0.086,22.039,0.102
1 00 30.930,-33 24 06.500,14.835,0.001,14.070,0.001
0 59 23.580,-33 24 06.800,19.149,0.006,18.246,0.005
0 59 52.370,-33 24 07.000,21.146,0.049,20.497,0.058
0 55 46.400,-33 24 09.000,23.107,0.170,22.024,0.135
1 01 03.940,-33 24 09.200,21.144,0.021,18.489,0.006
1 00 57.750,-33 24 09.300,22.942,0.077,22.230,0.119
0 57 37.660,-33 24 09.400,22.536,0.058,22.032,0.102
0 55 21.670,-33 24 09.600,18.870,0.006,17.811,0.005
0 55 19.080,-33 24 09.800,21.817,0.065,19.656,0.018
0 55 23.440,-33 24 09.900,18.394,0.004,17.370,0.004
0 58 03.980,-33 24 10.000,20.939,0.018,20.170,0.021
1 00 53.490,-33 24 10.600,21.552,0.025,20.679,0.031
0 58 37.970,-33 24 11.800,15.419,0.001,14.788,0.001
0 59 23.110,-33 24 12.100,22.294,0.046,21.895,0.088
0 59 03.340,-33 24 12.400,16.304,0.001,15.649,0.001
0 58 50.320,-33 24 12.600,22.035,0.041,21.294,0.055
0 57 13.770,-33 24 13.000,17.978,0.003,16.784,0.002
1 03 58.700,-33 24 13.800,17.284,0.003,15.573,0.001
1 04 32.890,-33 24 13.900,21.836,0.068,20.912,0.066
0 56 21.920,-33 24 14.100,18.546,0.005,17.376,0.004
0 58 44.070,-33 24 14.100,20.533,0.014,18.010,0.004
1 01 24.410,-33 24 14.200,19.373,0.013,17.309,0.005
1 01 26.810,-33 24 14.200,20.949,0.016,20.075,0.019
1 00 26.130,-33 24 14.300,21.686,0.077,20.695,0.067
1 01 02.620,-33 24 14.800,22.779,0.068,22.194,0.117
1 04 31.860,-33 24 14.800,22.942,0.186,21.101,0.074
1 04 01.190,-33 24 15.400,16.786,0.002,16.179,0.002
0 57 34.060,-33 24 15.500,20.763,0.016,19.263,0.010
0 59 46.280,-33 24 15.900,21.159,0.050,20.316,0.049
1 00 11.570,-33 24 16.300,20.874,0.039,20.052,0.039
0 57 50.300,-33 24 16.600,20.591,0.014,19.752,0.015
1 03 22.530,-33 24 17.400,19.294,0.006,16.680,0.002
0 57 56.530,-33 24 17.700,18.756,0.005,17.933,0.004
1 01 23.580,-33 24 17.900,20.629,0.015,18.253,0.005
1 04 56.950,-33 24 18.100,22.076,0.102,19.723,0.024
0 58 23.690,-33 24 18.200,21.394,0.024,20.740,0.033
0 59 12.040,-33 24 18.300,22.857,0.077,22.100,0.105
1 04 57.940,-33 24 18.900,22.343,0.126,20.252,0.039
1 00 13.460,-33 24 19.000,20.683,0.033,20.111,0.041
0 59 43.660,-33 24 20.500,19.342,0.012,18.418,0.010
1 00 50.100,-33 24 21.400,20.367,0.010,20.270,0.023
0 55 33.250,-33 24 21.500,23.042,0.169,21.041,0.055
0 58 03.050,-33 24 21.800,20.427,0.014,18.015,0.004
1 03 00.300,-33 24 22.600,20.966,0.018,18.971,0.008
0 58 37.740,-33 24 24.500,22.070,0.039,21.506,0.063
1 00 32.950,-33 24 24.600,20.125,0.021,19.176,0.019
0 59 58.370,-33 24 25.800,19.514,0.014,17.966,0.007
0 58 15.750,-33 24 26.100,18.358,0.004,17.911,0.004
1 02 50.510,-33 24 27.100,23.182,0.109,20.622,0.027
1 01 34.750,-33 24 27.700,20.905,0.017,18.936,0.008
1 00 43.500,-33 24 27.900,20.538,0.029,19.633,0.027
0 55 49.400,-33 24 28.500,21.276,0.039,19.009,0.010
1 00 23.940,-33 24 28.800,20.243,0.023,19.364,0.022
0 58 29.060,-33 24 30.000,19.986,0.009,19.182,0.010
0 58 02.070,-33 24 31.300,22.946,0.082,22.615,0.170
1 00 49.660,-33 24 31.700,20.832,0.016,18.794,0.007
0 56 38.920,-33 24 32.200,20.114,0.013,19.729,0.019
1 04 40.050,-33 24 33.200,19.208,0.008,18.603,0.009
0 58 14.150,-33 24 34.100,22.920,0.079,22.393,0.136
0 56 28.450,-33 24 34.300,20.168,0.016,17.599,0.004
0 55 47.470,-33 24 34.600,20.718,0.023,19.039,0.011
1 01 52.700,-33 24 35.100,20.885,0.017,19.269,0.010
0 57 27.430,-33 24 35.400,19.060,0.006,16.332,0.002
1 01 42.190,-33 24 35.700,22.443,0.057,20.243,0.020
0 57 49.090,-33 24 35.900,17.820,0.003,17.260,0.003
0 57 32.930,-33 24 36.600,21.107,0.019,20.353,0.024
0 57 25.640,-33 24 37.300,19.851,0.009,18.746,0.007
1 01 16.160,-33 24 37.900,20.748,0.010,19.828,0.014
1 01 09.160,-33 24 38.100,22.559,0.042,20.637,0.023
0 59 35.790,-33 24 38.300,21.636,0.074,20.834,0.076
1 01 52.530,-33 24 38.700,21.558,0.026,20.641,0.030
1 04 18.270,-33 24 40.200,22.723,0.161,20.272,0.035
0 56 23.940,-33 24 40.700,23.516,0.227,22.490,0.192
1 00 57.960,-33 24 41.100,22.482,0.053,21.746,0.078
0 57 35.260,-33 24 42.200,20.772,0.017,18.730,0.007
1 02 08.400,-33 24 43.700,17.966,0.003,17.040,0.003
1 00 35.980,-33 24 44.400,15.456,0.001,14.705,0.001
0 55 32.520,-33 24 44.700,21.730,0.052,20.476,0.035
0 59 36.900,-33 24 45.300,20.515,0.029,19.713,0.029
1 00 38.770,-33 24 45.500,20.927,0.040,20.195,0.043
0 59 49.930,-33 24 45.700,20.267,0.023,20.166,0.045
0 57 37.300,-33 24 45.800,19.460,0.007,18.834,0.008
0 56 16.000,-33 24 47.200,19.019,0.006,18.460,0.007
1 02 51.380,-33 24 48.800,22.445,0.057,20.516,0.025
0 57 59.480,-33 24 49.000,19.996,0.010,19.116,0.009
0 58 00.530,-33 24 50.100,19.706,0.009,17.423,0.003
1 04 39.020,-33 24 50.200,22.544,0.125,21.478,0.105
1 00 15.400,-33 24 50.900,21.187,0.049,20.571,0.061
1 04 30.230,-33 24 51.600,21.612,0.059,19.855,0.025
1 00 58.440,-33 24 52.200,23.051,0.063,21.456,0.050
1 02 04.860,-33 24 52.300,21.310,0.024,18.848,0.007
0 59 32.650,-33 24 52.900,19.896,0.017,19.425,0.023
0 55 37.520,-33 24 53.200,18.308,0.004,16.108,0.002
1 03 19.770,-33 24 53.300,19.647,0.007,18.602,0.006
0 59 20.310,-33 24 53.700,21.629,0.028,20.790,0.033
1 00 37.110,-33 24 54.300,22.501,0.041,20.297,0.017
1 01 01.660,-33 24 54.500,18.257,0.003,17.150,0.003
0 59 46.990,-33 24 54.800,19.771,0.016,18.917,0.015
0 55 57.540,-33 24 55.200,19.933,0.013,17.683,0.004
1 02 42.160,-33 24 55.200,22.979,0.082,21.445,0.055
0 58 32.310,-33 24 56.500,20.608,0.014,19.818,0.016
0 56 48.040,-33 24 57.400,19.228,0.006,18.549,0.006
0 59 25.920,-33 24 57.400,21.531,0.026,20.637,0.029
1 01 08.260,-33 24 57.600,15.033,0.001,14.217,0.001
1 04 29.170,-33 24 58.000,22.312,0.112,19.914,0.026
1 03 18.630,-33 24 58.400,16.954,0.002,15.989,0.001
0 55 41.760,-33 24 58.700,22.926,0.156,20.653,0.039
0 55 50.610,-33 24 59.500,22.922,0.159,20.422,0.032
1 02 13.120,-33 24 59.500,19.595,0.007,18.062,0.004
0 59 31.040,-33 25 00.300,19.372,0.012,18.651,0.012
1 03 59.970,-33 25 00.300,21.926,0.076,20.761,0.058
0 58 31.270,-33 25 00.900,22.438,0.052,22.229,0.119
1 02 53.490,-33 25 00.900,21.171,0.019,20.303,0.022
0 58 43.420,-33 25 02.000,20.395,0.013,18.042,0.004
1 01 23.680,-33 25 02.400,20.629,0.013,20.122,0.021
0 58 14.870,-33 25 04.100,21.382,0.027,18.711,0.007
0 59 56.570,-33 25 04.100,20.348,0.028,18.098,0.008
1 00 44.480,-33 25 05.100,21.267,0.016,20.101,0.018
0 56 22.770,-33 25 05.300,18.860,0.006,17.955,0.005
0 56 46.610,-33 25 05.500,21.559,0.029,19.069,0.008
1 00 31.940,-33 25 05.700,17.847,0.002,16.901,0.002
1 02 16.480,-33 25 06.100,18.539,0.004,16.719,0.002
0 55 04.060,-33 25 06.500,15.853,0.001,15.077,0.001
1 04 45.200,-33 25 06.900,18.403,0.005,16.294,0.002
1 00 50.440,-33 25 07.900,23.013,0.063,21.093,0.036
1 02 03.660,-33 25 08.100,17.162,0.002,15.822,0.001
0 57 43.720,-33 25 09.000,18.978,0.005,18.084,0.005
1 00 56.390,-33 25 09.600,21.909,0.024,21.226,0.048
1 00 24.440,-33 25 10.100,18.457,0.003,17.074,0.002
0 59 49.000,-33 25 11.300,21.464,0.071,19.202,0.018
1 00 31.970,-33 25 11.600,19.153,0.005,16.689,0.002
1 01 29.890,-33 25 12.000,20.209,0.010,19.814,0.016
1 01 31.060,-33 25 12.600,19.157,0.005,18.646,0.007
1 00 25.620,-33 25 13.600,23.062,0.063,21.293,0.042
1 00 28.640,-33 25 13.700,20.287,0.008,20.185,0.021
0 57 18.270,-33 25 14.500,19.360,0.006,18.160,0.005
1 03 45.810,-33 25 14.800,21.542,0.053,20.826,0.062
1 00 51.600,-33 25 14.900,23.310,0.102,22.778,0.186
1 00 12.580,-33 25 15.100,22.094,0.028,21.189,0.044
1 01 05.000,-33 25 17.200,20.772,0.011,19.859,0.015
1 01 28.090,-33 25 17.300,18.610,0.004,17.806,0.004
0 58 49.120,-33 25 17.400,15.884,0.002,15.149,0.001
1 01 21.480,-33 25 17.600,20.951,0.012,20.132,0.018
0 59 08.910,-33 25 17.900,22.289,0.057,19.042,0.008
1 07 00.610,-33 25 17.900,19.207,0.005,16.902,0.002
1 05 06.950,-33 25 18.900,18.929,0.004,18.116,0.005
1 00 27.430,-33 25 19.100,17.252,0.002,14.940,0.001
1 01 10.510,-33 25 19.300,21.498,0.017,20.651,0.028
0 58 51.980,-33 25 19.500,19.857,0.009,19.353,0.011
0 59 55.280,-33 25 21.200,22.978,0.057,21.724,0.067
1 03 47.350,-33 25 21.400,22.025,0.085,19.207,0.012
0 59 51.110,-33 25 21.500,21.133,0.015,18.930,0.006
0 57 46.170,-33 25 21.600,22.769,0.083,19.740,0.013
1 05 18.590,-33 25 21.800,21.491,0.034,20.788,0.050
0 57 52.600,-33 25 22.200,21.364,0.026,19.097,0.009
0 59 14.800,-33 25 22.400,17.978,0.003,17.435,0.003
0 59 38.220,-33 25 22.600,20.195,0.022,19.794,0.032
1 00 54.650,-33 25 23.000,17.345,0.002,15.894,0.001
1 05 19.570,-33 25 23.500,19.969,0.010,19.553,0.018
0 56 38.610,-33 25 23.700,19.160,0.005,18.399,0.006
0 59 35.940,-33 25 23.700,17.841,0.005,16.811,0.004
0 58 47.780,-33 25 25.400,21.021,0.021,18.501,0.006
1 01 08.710,-33 25 25.400,22.073,0.030,19.508,0.009
1 03 12.660,-33 25 25.500,23.215,0.097,22.139,0.101
0 56 47.630,-33 25 26.000,18.271,0.003,16.998,0.003
0 59 51.240,-33 25 26.100,21.290,0.017,18.636,0.005
0 59 54.210,-33 25 26.100,20.186,0.007,19.946,0.018
1 04 15.960,-33 25 26.400,22.131,0.094,19.616,0.019
0 59 58.150,-33 25 26.800,19.767,0.006,18.895,0.007
1 06 40.530,-33 25 27.200,22.905,0.113,20.868,0.047
1 02 01.480,-33 25 27.600,20.051,0.009,19.520,0.013
1 01 11.080,-33 25 29.100,19.708,0.006,18.720,0.006
1 05 56.530,-33 25 29.400,16.810,0.002,16.231,0.002
0 55 19.610,-33 25 29.900,21.869,0.030,21.174,0.056
1 02 55.130,-33 25 31.100,22.426,0.056,20.113,0.018
0 59 54.860,-33 25 32.300,19.877,0.006,18.932,0.008
1 06 53.700,-33 25 32.500,24.046,0.310,21.908,0.125
0 59 49.770,-33 25 32.800,20.342,0.008,19.449,0.011
1 05 52.120,-33 25 33.300,22.798,0.111,20.708,0.042
1 00 49.660,-33 25 33.400,17.970,0.002,16.875,0.002
0 59 35.530,-33 25 33.500,20.179,0.007,19.502,0.012
0 59 39.700,-33 25 33.700,17.903,0.002,16.735,0.002
0 55 01.160,-33 25 34.100,20.088,0.008,19.606,0.015
1 01 07.270,-33 25 34.200,16.555,0.001,15.668,0.001
1 04 04.250,-33 25 34.400,19.484,0.010,17.628,0.004
1 00 51.460,-33 25 34.700,23.100,0.086,22.448,0.140
1 06 46.470,-33 25 34.700,22.572,0.081,21.188,0.064
1 00 17.950,-33 25 35.400,16.399,0.001,15.659,0.001
1 04 26.840,-33 25 36.600,19.712,0.012,18.319,0.007
1 04 36.790,-33 25 36.700,20.882,0.028,20.069,0.030
1 04 02.740,-33 25 37.100,21.054,0.035,19.358,0.015
1 05 18.890,-33 25 37.100,23.411,0.178,22.435,0.205
1 05 39.700,-33 25 37.400,20.970,0.016,18.718,0.007
0 53 15.260,-33 25 38.500,17.502,0.003,16.357,0.002
1 02 47.420,-33 25 38.600,22.439,0.052,21.686,0.072
1 05 41.410,-33 25 38.600,16.480,0.001,15.744,0.001
1 05 56.440,-33 25 39.100,19.107,0.005,17.998,0.004
1 00 52.730,-33 25 39.500,21.096,0.015,18.941,0.007
1 00 16.230,-33 25 39.700,20.250,0.008,19.536,0.012
1 03 22.730,-33 25 39.900,20.142,0.010,18.265,0.005
0 53 39.410,-33 25 40.400,17.968,0.003,16.148,0.002
1 01 45.220,-33 25 40.600,17.739,0.003,16.520,0.002
0 57 51.860,-33 25 44.000,20.095,0.010,19.843,0.016
0 57 55.420,-33 25 44.400,20.121,0.010,19.946,0.018
0 57 00.650,-33 25 44.600,19.764,0.008,18.930,0.008
0 55 14.810,-33 25 45.400,16.447,0.001,14.628,0.001
0 58 42.180,-33 25 45.400,19.416,0.007,18.588,0.006
1 04 21.930,-33 25 45.400,19.539,0.010,18.381,0.008
0 55 59.550,-33 25 45.500,17.785,0.003,16.497,0.002
0 54 50.710,-33 25 46.000,19.006,0.005,16.996,0.002
0 55 56.880,-33 25 46.400,22.151,0.037,21.815,0.096
0 59 20.180,-33 25 47.200,18.844,0.004,17.822,0.004
1 04 02.640,-33 25 47.400,16.286,0.001,15.402,0.001
0 59 15.050,-33 25 47.500,20.905,0.012,19.986,0.016
0 54 39.420,-33 25 48.100,20.808,0.025,18.543,0.008
1 01 12.600,-33 25 48.400,20.060,0.007,19.230,0.009
1 00 26.850,-33 25 48.600,22.294,0.032,21.587,0.064
1 00 37.130,-33 25 48.800,17.928,0.002,17.092,0.002
1 03 10.050,-33 25 48.800,18.914,0.005,17.817,0.004
1 00 25.440,-33 25 48.900,19.855,0.006,18.871,0.007
1 00 53.360,-33 25 49.400,17.959,0.002,17.477,0.003
0 57 54.920,-33 25 49.700,16.188,0.001,15.214,0.001
1 03 59.640,-33 25 50.400,21.117,0.039,18.698,0.009
0 55 57.260,-33 25 50.700,20.388,0.012,17.813,0.004
0 59 37.020,-33 25 51.000,19.298,0.005,18.721,0.007
0 58 58.550,-33 25 51.800,21.317,0.015,20.474,0.023
0 59 58.360,-33 25 52.300,19.931,0.006,19.590,0.013
0 59 50.110,-33 25 52.400,22.487,0.037,21.677,0.069
0 55 39.190,-33 25 52.900,16.339,0.001,15.686,0.001
1 00 40.220,-33 25 53.300,22.439,0.036,21.694,0.069
0 54 03.080,-33 25 53.400,20.781,0.023,20.312,0.035
0 53 11.770,-33 25 53.800,20.209,0.016,17.822,0.005
1 03 59.960,-33 25 54.700,15.637,0.001,15.004,0.001
1 04 35.620,-33 25 54.700,20.045,0.014,19.874,0.027
0 55 13.640,-33 25 54.900,20.283,0.010,19.723,0.017
1 03 42.030,-33 25 55.000,20.477,0.021,18.805,0.010
0 59 42.200,-33 25 55.500,20.371,0.009,18.410,0.005
0 54 09.490,-33 25 56.400,21.612,0.052,18.801,0.009
1 06 37.520,-33 25 57.000,19.302,0.005,17.265,0.003
0 59 37.270,-33 25 57.200,18.587,0.003,16.954,0.002
1 03 29.050,-33 25 57.300,21.061,0.034,19.646,0.019
1 05 11.050,-33 25 57.400,23.496,0.186,22.769,0.270
1 01 51.170,-33 25 57.800,20.423,0.012,19.097,0.009
1 00 40.750,-33 25 58.300,20.308,0.008,19.985,0.018
1 00 22.870,-33 25 58.700,21.229,0.015,20.345,0.022
0 59 59.570,-33 25 59.600,18.545,0.003,16.939,0.002
0 59 40.130,-33 25 59.900,20.609,0.010,19.757,0.014
0 59 38.200,-33 26 00.200,22.476,0.036,21.999,0.095
0 59 14.630,-33 26 00.600,21.419,0.017,20.653,0.028
0 56 07.430,-33 26 01.400,17.220,0.002,15.386,0.001
0 59 35.960,-33 26 01.600,18.424,0.003,17.453,0.003
0 54 33.990,-33 26 01.700,20.755,0.024,18.998,0.011
0 58 26.710,-33 26 01.700,18.847,0.005,17.187,0.003
0 57 57.700,-33 26 01.800,20.190,0.011,17.853,0.004
0 58 35.160,-33 26 02.400,22.332,0.046,22.533,0.156
0 56 43.890,-33 26 02.800,18.698,0.004,18.142,0.005
1 01 00.330,-33 26 03.100,21.178,0.014,20.301,0.021
1 00 32.630,-33 26 03.200,22.156,0.029,21.596,0.066
1 01 17.690,-33 26 03.400,19.005,0.004,18.182,0.005
0 54 17.160,-33 26 03.500,20.250,0.016,18.686,0.009
1 00 05.610,-33 26 03.800,21.346,0.017,19.128,0.007
0 56 22.830,-33 26 03.900,22.185,0.042,19.748,0.015
0 59 54.250,-33 26 04.100,23.211,0.070,21.878,0.076
1 05 42.020,-33 26 04.200,18.884,0.004,17.893,0.004
0 58 41.770,-33 26 04.800,19.837,0.009,18.182,0.005
1 00 17.860,-33 26 05.000,22.415,0.034,22.464,0.153
0 59 19.490,-33 26 05.200,20.039,0.007,19.113,0.008
1 00 19.610,-33 26 05.200,20.246,0.008,19.719,0.014
1 02 45.190,-33 26 05.600,16.419,0.001,15.474,0.001
0 53 56.240,-33 26 05.700,22.807,0.147,20.485,0.037
1 00 15.880,-33 26 05.800,22.041,0.027,20.930,0.035
0 57 24.340,-33 26 06.000,15.542,0.001,14.914,0.001
1 03 04.350,-33 26 06.200,19.801,0.008,18.869,0.007
1 00 22.640,-33 26 06.300,18.982,0.004,17.192,0.002
0 53 20.970,-33 26 06.600,21.260,0.038,19.067,0.012
1 06 21.910,-33 26 06.700,21.923,0.032,19.630,0.014
0 55 39.010,-33 26 07.400,21.423,0.021,20.966,0.046
0 55 42.970,-33 26 07.600,22.457,0.048,21.927,0.105
0 55 55.780,-33 26 07.800,20.439,0.011,19.746,0.017
1 00 36.930,-33 26 07.800,19.513,0.005,18.239,0.005
1 01 58.230,-33 26 07.900,23.660,0.159,21.124,0.042
1 00 01.040,-33 26 08.500,19.002,0.004,18.066,0.004
1 00 38.890,-33 26 09.800,17.780,0.002,16.545,0.002
0 53 59.950,-33 26 10.100,23.343,0.207,22.600,0.250
0 58 26.010,-33 26 10.100,20.141,0.011,17.954,0.004
1 07 06.060,-33 26 10.100,23.973,0.279,22.447,0.201
1 05 18.410,-33 26 10.700,20.902,0.014,19.802,0.018
1 06 19.920,-33 26 10.800,22.555,0.087,20.326,0.030
0 59 06.580,-33 26 11.200,18.631,0.003,17.621,0.003
1 00 27.080,-33 26 11.400,22.486,0.037,21.795,0.077
1 05 08.690,-33 26 11.500,21.325,0.020,19.187,0.010
0 59 23.930,-33 26 12.100,22.795,0.070,22.093,0.100
0 53 46.680,-33 26 12.200,20.161,0.016,17.384,0.003
0 58 12.930,-33 26 12.200,22.009,0.039,20.726,0.031
0 56 06.100,-33 26 12.400,20.861,0.016,18.179,0.005
0 57 44.480,-33 26 12.400,22.963,0.082,22.407,0.138
1 02 56.850,-33 26 12.600,19.706,0.007,18.741,0.007
0 55 21.340,-33 26 12.900,20.721,0.014,18.801,0.008
1 01 17.990,-33 26 13.100,19.475,0.005,18.513,0.006
1 00 22.780,-33 26 13.600,18.338,0.003,16.745,0.002
1 03 13.880,-33 26 13.900,20.146,0.010,18.805,0.007
1 00 47.480,-33 26 14.800,21.818,0.026,19.270,0.008
0 58 12.430,-33 26 16.300,20.033,0.009,19.834,0.016
0 56 02.070,-33 26 16.500,19.681,0.007,19.413,0.013
0 56 38.560,-33 26 16.500,18.349,0.004,16.986,0.003
1 03 01.740,-33 26 16.500,19.053,0.005,18.132,0.005
0 54 33.270,-33 26 16.600,19.331,0.007,19.065,0.012
1 00 35.780,-33 26 16.600,19.620,0.006,18.235,0.005
1 01 52.370,-33 26 17.200,23.421,0.114,22.716,0.177
1 01 09.720,-33 26 17.600,21.844,0.024,20.315,0.019
0 58 16.530,-33 26 18.200,18.768,0.005,17.914,0.004
1 01 30.130,-33 26 18.600,20.979,0.017,19.373,0.011
1 02 16.950,-33 26 18.900,18.512,0.004,17.285,0.003
1 03 05.040,-33 26 19.700,19.427,0.006,18.583,0.006
0 59 52.610,-33 26 20.100,19.471,0.005,18.729,0.007
0 54 53.300,-33 26 21.100,19.758,0.007,17.422,0.003
1 00 22.300,-33 26 21.500,21.790,0.022,21.196,0.047
0 59 20.720,-33 26 22.000,20.597,0.010,19.717,0.013
1 00 15.170,-33 26 22.100,18.301,0.003,17.179,0.003
0 57 26.550,-33 26 22.200,17.901,0.003,16.877,0.002
1 05 57.170,-33 26 22.200,17.902,0.003,16.996,0.002
0 59 37.020,-33 26 23.100,23.056,0.057,22.651,0.167
0 57 55.240,-33 26 23.500,18.548,0.004,17.631,0.004
0 57 44.910,-33 26 23.600,19.012,0.005,18.156,0.005
0 59 14.570,-33 26 23.700,22.328,0.033,21.669,0.067
